Geography,Geography code,All usual residents,0-2 years,3-4 years,5-7 years,8-9 years,10-14 years,15 years,16-17 years,18-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65 years,66-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90+ years
Northern Ireland,N92000002,1903173.0,66558.0,47259.0,73455.0,51020.0,126918.0,23220.0,46641.0,43342.0,111386.0,116409.0,126050.0,127313.0,122163.0,121670.0,130967.0,129276.0,113049.0,20299.0,73167.0,83467.0,66377.0,43776.0,25879.0,13512.0
Antrim and Newtownabbey,N09000001,145662.0,4890.0,3430.0,5494.0,3873.0,9788.0,1790.0,3663.0,3189.0,7901.0,8683.0,9582.0,9912.0,9778.0,9834.0,10294.0,10013.0,8448.0,1519.0,5517.0,6421.0,5158.0,3447.0,2023.0,1015.0
"Armagh City, Banbridge and Craigavon",N09000002,218656.0,8255.0,5920.0,9038.0,6393.0,15814.0,2823.0,5610.0,4594.0,11570.0,13321.0,14723.0,15058.0,14533.0,14388.0,14952.0,14452.0,12222.0,2129.0,7697.0,9027.0,7237.0,4798.0,2693.0,1409.0
Belfast,N09000003,345416.0,11669.0,8118.0,12485.0,8843.0,21213.0,3783.0,7595.0,10034.0,28919.0,26735.0,26685.0,24519.0,21598.0,19653.0,21282.0,21940.0,19499.0,3417.0,11396.0,12139.0,9958.0,6932.0,4478.0,2526.0
Causeway Coast and Glens,N09000004,141745.0,4587.0,3386.0,5254.0,3624.0,9113.0,1623.0,3492.0,3211.0,7873.0,7713.0,8460.0,8528.0,8513.0,9322.0,10412.0,10150.0,9171.0,1634.0,6135.0,6990.0,5659.0,3718.0,2126.0,1051.0
Derry City and Strabane,N09000005,150757.0,5478.0,3813.0,6075.0,4195.0,10417.0,1965.0,3874.0,3483.0,8750.0,8941.0,9833.0,9987.0,9759.0,9798.0,10730.0,10656.0,8845.0,1597.0,5844.0,6515.0,4734.0,3100.0,1673.0,695.0
Fermanagh and Omagh,N09000006,116811.0,4261.0,3070.0,4634.0,3187.0,8084.0,1563.0,2992.0,2620.0,6048.0,6294.0,6796.0,7608.0,7488.0,7568.0,7897.0,7992.0,7272.0,1398.0,5136.0,5647.0,4085.0,2734.0,1566.0,871.0
Lisburn and Castlereagh,N09000007,149106.0,5340.0,3700.0,5688.0,3924.0,9746.0,1786.0,3325.0,2798.0,7124.0,8958.0,10305.0,10555.0,10004.0,9647.0,10523.0,10526.0,8943.0,1570.0,5576.0,6443.0,5413.0,3804.0,2291.0,1117.0
Mid and East Antrim,N09000008,138995.0,4340.0,3194.0,4831.0,3345.0,8483.0,1725.0,3316.0,2871.0,7235.0,7689.0,8488.0,8499.0,8461.0,9198.0,10674.0,10297.0,9008.0,1663.0,5849.0,7024.0,5701.0,3753.0,2207.0,1144.0
Mid Ulster,N09000009,150292.0,6255.0,4345.0,6584.0,4389.0,11058.0,2002.0,4038.0,3439.0,8404.0,9206.0,10363.0,10899.0,10123.0,9934.0,9761.0,9049.0,7918.0,1385.0,5234.0,5754.0,4499.0,2958.0,1767.0,928.0
"Newry, Mourne and Down",N09000010,182073.0,6832.0,4890.0,7692.0,5259.0,13151.0,2254.0,4923.0,4024.0,10022.0,10354.0,11334.0,11876.0,11761.0,11583.0,12609.0,12423.0,10758.0,1991.0,7147.0,7782.0,5992.0,3880.0,2347.0,1189.0
Ards and North Down,N09000011,163660.0,4651.0,3393.0,5680.0,3988.0,10051.0,1906.0,3813.0,3079.0,7540.0,8515.0,9481.0,9872.0,10145.0,10745.0,11833.0,11778.0,10965.0,1996.0,7636.0,9725.0,7941.0,4652.0,2708.0,1567.0
