Geography,Geography Code,All Usual Residents,Area (Hectares),Population Density
Northern Ireland,N92000002,1903175.0,1354665.39,1.4
Antrim and Newtownabbey,N09000001,145661.0,57143.15,2.55
"Armagh City, Banbridge and Craigavon",N09000002,218656.0,133167.52,1.64
Belfast,N09000003,345418.0,13296.38,25.98
Causeway Coast and Glens,N09000004,141746.0,197958.16,0.72
Derry City and Strabane,N09000005,150756.0,123730.0,1.22
Fermanagh and Omagh,N09000006,116812.0,283593.89,0.41
Lisburn and Castlereagh,N09000007,149106.0,50357.6,2.96
Mid and East Antrim,N09000008,138994.0,104452.78,1.33
Mid Ulster,N09000009,150293.0,182303.43,0.82
"Newry, Mourne and Down",N09000010,182074.0,162827.72,1.12
Ards and North Down,N09000011,163659.0,45834.76,3.57
